Entity,average_probability
a contributor,124000000
a severe systemic inflammatory response,25100
Morrison,169000000
"penile papules "", a common and harmless condition",13200
Bayezid (spelt Bayazid),1
"Cole Porter, her first being",0
"Ms. Hesse, a Chicago businesswoman who previously held posts at the Energy Department and FERC",0
"Brazil, which witnessed five military presidents",0
information and convenience,14100000
late Monday night,1260000
"the ""Super Casino ""license",9720000
the west of Ile Jesus,2
an air raid warden,34100
The figure,258000000
Battle of Jutland,239000
the agency's latest report on Iran,1
their ancestors,17700000
the area,1130000000
motherhood,94200000
an effort to dress up results--and perhaps bolster performance-related bonuses,0
their final resting places,45800
those produced in Cebu making it to export markets around the world,4
"diffusion of oxygen, carbon dioxide, and other metabolites",2
the Caliph and Henry Ainley,1
Comrade Putin,9170
trumpet,63300000
aim,1230000000
The drink,33000000
"Clube Atletico Taquaritinga, commonly known as Taquaritinga",0
Al-Dhahabi in his Talkhis al-Mustadrak,7
heart attack,107000000
analyst,756000000
Lesley-Anne Down,143000
Time magazine,21200000
shame,266000000
The rattlesnake,579000
deserved victories,28000
"an ""international outlook",482000000
Aqeel,4950000
Wilson,810000000
"the task to develop and support international scientific networks, especially with developing countries as partners",0
various Hollywood actors,2940
forecast in the statement,9
north,3420000000
Barbados and the West Indies,200000
citizens living overseas,29900
the Netherlands,447000000
Spain coach Vicente del Bosque,19500
"The Three Blind Mice, Gingy, Pinocchio, and the Big Bad Wolf",0
the range,611000000
Later Liang Dynasty,4990
calls,1710000000
Lake Toba,687000
the master of the Roman world,66200
New Jersey lawmakers,48500
a Turkish professional footballer who currently plays for Kasimpasa in the Super Lig,0
"a Middle Age kingdom called Houghton Bottoms, ruled by the diminutive King Arthur and his Queen Edith",4
"Eisenhower, Oppenheimer, Einstein, Patton, Marshall",1
Michael,2000000000
"Moonis Ahmar, a professor of international relations at Karachi University",1
Bishop of Charleston,61900
Barak,13000000
the first phase investment,5590
colour,798000000
opinion polls,4880000
an English Bishop Henry of Uppsala,6
Axa,18400000
the beginning,1110000000
Bonar Law,117000
the influence of the powerful state bureacracy,0
Mock gold ingots,6
the following,4600000000
Louis-Dreyfus,4780000
the formulary,378000
"President of Drexel University in Philadelphia, Pennsylvania",6
Complutense University,875000
Northwich and Ellesmere Port,1550
a Grand Rapids jury saying Taco Bell,0
anyone,2200000000
Wall Street Journal columnist James Taranto,59
news articles,88200000
"a twin sister, the chaste huntress Artemis",1840
The manner in which it was confirmed,2
a telephone interview,2370000
inmates in more than seven Georgia prisons,6
European and Turkish firms,5
Sporadic clashes,56700
scores,1050000000
the same year,155000000
favor of Bob Stanley,4
"land of the outback, a snapshot of Jim Beam",0
Ross MacDonald in the men's Star event,1
the shafts,2750000
India The history of India,6290000
the stores,28600000
the material,598000000
"Battle of Antietam, in which Union troops turned back a Confederate invasion of Maryland",1
Multinationals,10400000
the routes for mountaineers,3
the script,118000000
Disney,753000000
the interview's most newsworthy moment,0
an exhibition game in the Panama capital,0
a strong Even influence,1
Best Player,21700000
a majority of South Koreans,26500
rare plants,3880000
this terminology several years,0
the game,1110000000
a branch to the important city of Wells,2
Japan,2230000000
Worcestershire,29400000
Clinton's visit,46200
